"cityName","dataTime","so2Value","coValue","o3Value","no2Value","pm10Value","pm25Value","lon","lat"
"도봉구","2017-09-24 16:00","0.004","0.6","0.082","0.017","81","43",127.0470706,37.6687738
"도봉구","2017-09-25 04:00","0.003","0.5","0.031","0.012","42","26",127.0470706,37.6687738
"도봉구","2017-09-24 21:00","0.004","0.5","0.065","0.012","55","51",127.0470706,37.6687738
"도봉구","2017-09-25 07:00","0.003","0.6","0.011","0.032","38","21",127.0470706,37.6687738
"도봉구","2017-09-25 05:00","0.003","0.5","0.031","0.012","42","23",127.0470706,37.6687738
"도봉구","2017-09-24 24:00","0.004","0.5","0.033","0.024","35","25",127.0470706,37.6687738
"도봉구","2017-09-25 09:00","0.004","0.6","0.010","0.038","42","17",127.0470706,37.6687738
"도봉구","2017-09-25 06:00","0.003","0.5","0.026","0.017","42","22",127.0470706,37.6687738
"도봉구","2017-09-25 01:00","0.004","0.4","0.039","0.015","39","24",127.0470706,37.6687738
"도봉구","2017-09-24 17:00","0.004","0.6","0.078","0.018","77","49",127.0470706,37.6687738
"동대문구","2017-09-24 19:00","0.005","0.5","0.040","0.016","91","47",127.0400189,37.5743682
"동대문구","2017-09-24 20:00","0.004","0.5","0.036","0.016","86","59",127.0400189,37.5743682
"동대문구","2017-09-24 18:00","0.005","0.5","0.040","0.020","78","48",127.0400189,37.5743682
"동대문구","2017-09-25 05:00","0.004","0.4","0.016","0.018","41","22",127.0400189,37.5743682
"동대문구","2017-09-24 14:00","0.004","0.5","0.037","0.022","83","42",127.0400189,37.5743682
"동대문구","2017-09-24 15:00","0.004","0.5","0.048","0.015","77","44",127.0400189,37.5743682
"동대문구","2017-09-24 13:00","0.005","0.5","0.033","0.021","75","41",127.0400189,37.5743682
"동대문구","2017-09-25 07:00","0.005","0.5","0.003","0.034","42","22",127.0400189,37.5743682
"동대문구","2017-09-24 11:00","0.005","0.5","0.020","0.021","68","30",127.0400189,37.5743682
"동대문구","2017-09-25 08:00","0.004","0.5","0.005","0.037","44","21",127.0400189,37.5743682
"동대문구","2017-09-24 17:00","0.005","0.5","0.046","0.015","79","47",127.0400189,37.5743682
